__time,/plotjuggler/logging/ax,/plotjuggler/logging/ay,/plotjuggler/logging/az,/plotjuggler/logging/comp_time,/plotjuggler/logging/controller,/plotjuggler/logging/lookahead_time,/plotjuggler/logging/p,/plotjuggler/logging/pitch,/plotjuggler/logging/platform,/plotjuggler/logging/q,/plotjuggler/logging/r,/plotjuggler/logging/roll,/plotjuggler/logging/timestamp,/plotjuggler/logging/timestamp_sample,/plotjuggler/logging/traj_double,/plotjuggler/logging/traj_spin,/plotjuggler/logging/traj_time,/plotjuggler/logging/trajectory,/plotjuggler/logging/u_p,/plotjuggler/logging/u_q,/plotjuggler/logging/u_r,/plotjuggler/logging/u_throttle,/plotjuggler/logging/vx,/plotjuggler/logging/vx_ref,/plotjuggler/logging/vy,/plotjuggler/logging/vy_ref,/plotjuggler/logging/vz,/plotjuggler/logging/vz_ref,/plotjuggler/logging/x,/plotjuggler/logging/x_ref,/plotjuggler/logging/y,/plotjuggler/logging/y_ref,/plotjuggler/logging/yaw,/plotjuggler/logging/yaw_ref,/plotjuggler/logging/yawd_ref,/plotjuggler/logging/z,/plotjuggler/logging/z_ref
1759720777.610626,-0.093532369,0.455947936,-0.087565735,0.000886917,1.000000000,1.200000048,0.030793624,-0.044234566,0.000000000,-0.014786784,0.293318689,-0.003488927,1759720777609329.000000000,0.000000000,1.000000000,1.000000000,5.000001907,1.000000000,0.030034266,-0.016869716,0.294457912,0.732169867,0.377699137,0.165843695,-0.048687514,0.555769742,-0.066492453,0.000000000,0.214346126,0.574947774,-0.466739208,-0.171566486,1.608982563,1.947788000,0.314159274,-4.300655365,-5.000000000
1759720777.710935,-0.120543458,0.458646774,-0.092810012,0.000912905,1.000000000,1.200000048,0.030931393,-0.045512270,0.000000000,-0.011968253,0.293862522,-0.001800311,1759720777710130.000000000,0.000000000,1.000000000,1.000000000,5.100007057,1.000000000,0.031933565,-0.014098437,0.296969086,0.732353091,0.371564358,0.111426987,-0.000951772,0.569182038,-0.072170280,0.000000000,0.262223750,0.588822842,-0.463651061,-0.115272015,1.637524009,1.979205608,0.314159274,-4.289899826,-5.000000000
1759720777.810978,-0.148402855,0.456977397,-0.098004930,0.000881672,1.000000000,1.200000048,0.033592023,-0.046532746,0.000000000,-0.009343581,0.295574039,-0.000067525,1759720777809451.000000000,0.000000000,1.000000000,1.000000000,5.200006485,1.000000000,0.034546878,-0.011175629,0.301304609,0.732522070,0.364495099,0.055973135,0.045716915,0.577279091,-0.077435859,0.000000000,0.306640327,0.597199321,-0.454041272,-0.057904609,1.663965940,2.010621309,0.314159274,-4.281450748,-5.000000000
1759720777.911942,-0.178174019,0.454391062,-0.097101547,0.000913382,1.000000000,1.200000048,0.037354071,-0.047347900,0.000000000,-0.005130407,0.297128171,0.002075444,1759720777910477.000000000,0.000000000,1.000000000,1.000000000,5.300096512,1.000000000,0.036884628,-0.005517313,0.302440584,0.732244313,0.352335423,-0.000054242,0.096790262,0.579986334,-0.084612340,0.000000000,0.352479696,0.600000024,-0.439255476,0.000056114,1.693984032,2.042065620,0.314159274,-4.278443336,-5.000000000
1759720778.010630,-0.210267588,0.442226619,-0.086138949,0.000724077,1.000000000,1.200000048,0.036591012,-0.047748160,0.000000000,-0.000750934,0.299270272,0.004164930,1759720778009889.000000000,0.000000000,1.000000000,1.000000000,5.400158882,1.000000000,0.038024191,-0.002797440,0.304903030,0.731698036,0.337306112,-0.056065548,0.142536417,0.577270150,-0.091745548,0.000000000,0.392550677,0.597190082,-0.422184438,0.058000207,1.722516775,2.073501110,0.314159274,-4.279359341,-5.000000000
1759720778.109947,-0.245561406,0.424958259,-0.078238539,0.000907898,1.000000000,1.200000048,0.038721848,-0.047821682,0.000000000,0.002235658,0.301349193,0.006512585,1759720778108558.000000000,0.000000000,1.000000000,1.000000000,5.500003815,1.000000000,0.040001690,0.000539486,0.305001765,0.731225014,0.318205059,-0.111432835,0.189426064,0.569180906,-0.098868579,0.000000000,0.434435844,0.588821650,-0.399837255,0.115278065,1.753279924,2.104868174,0.314159274,-4.280694485,-5.000000000
1759720778.210288,-0.275642633,0.413265198,-0.066571862,0.000969648,1.000000000,1.200000048,0.040347356,-0.047780659,0.000000000,0.007427061,0.302841812,0.008929971,1759720778209570.000000000,0.000000000,1.000000000,1.000000000,5.599971294,1.000000000,0.042044681,0.006605756,0.306959838,0.730710268,0.296659976,-0.165829167,0.235677510,0.555774093,-0.104422495,0.000000000,0.470636636,0.574952245,-0.369559944,0.171551451,1.782789230,2.136274099,0.314159274,-4.283434391,-5.000000000
1759720778.312365,-0.309174329,0.388583064,-0.059926879,0.000943184,1.000000000,1.200000048,0.040421989,-0.047255676,0.000000000,0.012150524,0.304591149,0.011587727,1759720778311184.000000000,0.000000000,1.000000000,1.000000000,5.700099468,1.000000000,0.044268135,0.011610041,0.306830943,0.730364203,0.270916849,-0.218761504,0.281911254,0.537147582,-0.108804576,0.000000000,0.508079052,0.555683017,-0.335741282,0.226310343,1.814473510,2.167730093,0.314159274,-4.284652710,-5.000000000
1759720778.411209,-0.336422235,0.362331510,-0.056962479,0.000596046,1.000000000,1.200000048,0.042081583,-0.046311520,0.000000000,0.017301338,0.305693477,0.014154485,1759720778410014.000000000,0.000000000,1.000000000,1.000000000,5.800078392,1.000000000,0.045976639,0.013931399,0.308723778,0.730296850,0.244118124,-0.269571990,0.322048098,0.513531983,-0.111901388,0.000000000,0.538977802,0.531252503,-0.301600903,0.278874159,1.843434453,2.199139595,0.314159274,-4.284430027,-5.000000000
1759720778.509881,-0.369409412,0.326555490,-0.054139640,0.000926733,1.000000000,1.200000048,0.044567596,-0.044892937,0.000000000,0.021799359,0.306973398,0.017159836,1759720778508608.000000000,0.000000000,1.000000000,1.000000000,5.899972916,1.000000000,0.046046514,0.017913967,0.309141427,0.729985178,0.211147115,-0.317826957,0.361106813,0.485149652,-0.115075193,0.000000000,0.567611575,0.501890779,-0.262089849,0.328794241,1.874543786,2.230522156,0.314159274,-4.285180092,-5.000000000
1759720778.611594,-0.398972273,0.294538945,-0.045304183,0.001040220,1.000000000,1.200000048,0.044466976,-0.043492876,0.000000000,0.021448921,0.308365583,0.019821711,1759720778610344.000000000,0.000000000,1.000000000,1.000000000,6.000141144,1.000000000,0.045192078,0.016115386,0.313309908,0.729801238,0.179650933,-0.363240540,0.389049292,0.452150911,-0.117225580,0.000000000,0.587721944,0.467753351,-0.227788612,0.375774950,1.900899887,2.261991024,0.314159274,-4.287635803,-5.000000000
1759720778.709282,-0.424346566,0.257082164,-0.041220333,0.000597954,1.000000000,1.200000048,0.042589482,-0.042010818,0.000000000,0.022673067,0.310036808,0.022691786,1759720778708633.000000000,0.000000000,1.000000000,1.000000000,6.100013733,1.000000000,0.044612516,0.017002743,0.315409392,0.729956448,0.143943876,-0.405132473,0.416348040,0.415032327,-0.118191019,0.000000000,0.607763112,0.429353923,-0.188375264,0.419112414,1.929541588,2.293366909,0.314159274,-4.283921242,-5.000000000
1759720778.809585,-0.444764465,0.213866636,-0.037220303,0.000929594,1.000000000,1.200000048,0.042426445,-0.040431924,0.000000000,0.024981212,0.311648995,0.025704794,1759720778808820.000000000,0.000000000,1.000000000,1.000000000,6.200044632,1.000000000,0.045190789,0.023865245,0.315479130,0.729957998,0.102049112,-0.443308800,0.445984155,0.373980552,-0.119171083,0.000000000,0.624461234,0.386885554,-0.135844365,0.458606124,1.960777998,2.324792624,0.314159274,-4.283020020,-5.000000000
1759720778.909293,-0.467722863,0.171157137,-0.036006790,0.000598907,1.000000000,1.200000048,0.042613655,-0.038617615,0.000000000,0.031904571,0.313153327,0.028538048,1759720778908515.000000000,0.000000000,1.000000000,1.000000000,6.300013065,1.000000000,0.045988198,0.027438974,0.317232132,0.729852617,0.062386058,-0.477323562,0.468300283,0.329463750,-0.120232776,0.000000000,0.637013078,0.340832621,-0.087097168,0.493794620,1.989504457,2.356198549,0.314159274,-4.284150124,-5.000000000
1759720779.011936,-0.481041163,0.123263299,-0.030757857,0.001012564,1.000000000,1.200000048,0.042800061,-0.036427006,0.000000000,0.033869095,0.314499438,0.031414934,1759720779010741.000000000,0.000000000,1.000000000,1.000000000,6.400078773,1.000000000,0.045701154,0.027068393,0.320143223,0.729639053,0.022057921,-0.506910980,0.483789951,0.281825155,-0.121116392,0.000000000,0.646836758,0.291550130,-0.041821484,0.524403036,2.017927408,2.387635231,0.314159274,-4.287017822,-5.000000000
1759720779.109337,-0.498064309,0.070533574,-0.027405096,0.000962973,1.000000000,1.200000048,0.040822081,-0.034096483,0.000000000,0.032224536,0.315779418,0.034562320,1759720779108679.000000000,0.000000000,1.000000000,1.000000000,6.499992371,1.000000000,0.040491428,0.026967715,0.320067048,0.729090333,-0.025704093,-0.531725168,0.492803782,0.231630042,-0.122825429,0.000000000,0.649032891,0.239622936,0.003352147,0.550073504,2.049515009,2.419023991,0.314159274,-4.296085835,-5.000000000
1759720779.210535,-0.505885661,0.028005937,-0.014101154,0.000918388,1.000000000,1.200000048,0.035584923,-0.032107439,0.000000000,0.034121796,0.317216128,0.037236020,1759720779209817.000000000,0.000000000,1.000000000,1.000000000,6.599986076,1.000000000,0.038940698,0.030131143,0.321435928,0.728879154,-0.071058273,-0.551597416,0.500859320,0.179232925,-0.122221194,0.000000000,0.648477912,0.185417742,0.050704367,0.570631444,2.078986406,2.450438023,0.314159274,-4.300634861,-5.000000000
1759720779.309726,-0.515216291,-0.024593361,-0.009534880,0.000912905,1.000000000,1.200000048,0.033396807,-0.029907070,0.000000000,0.036786206,0.318511814,0.039743315,1759720779309013.000000000,0.000000000,1.000000000,1.000000000,6.700095177,1.000000000,0.040494058,0.035814594,0.320890903,0.728675783,-0.119290940,-0.566334009,0.507338583,0.125099659,-0.121139780,0.000000000,0.645790756,0.129416481,0.107822753,0.585876584,2.110752583,2.481888056,0.314159274,-4.306811810,-5.000000000
1759720779.409285,-0.515047669,-0.071514070,-0.003670342,0.000942707,1.000000000,1.200000048,0.034374222,-0.027280463,0.000000000,0.043084510,0.319251895,0.042263214,1759720779408639.000000000,0.000000000,1.000000000,1.000000000,6.799994469,1.000000000,0.043414831,0.040995289,0.320869714,0.728649139,-0.166406289,-0.575757205,0.509486794,0.069912575,-0.118821457,0.000000000,0.641691089,0.072325058,0.167861313,0.595624983,2.141753674,2.513272524,0.314159274,-4.310854912,-5.000000000
1759720779.510298,-0.516950965,-0.123224184,-0.007015652,0.000988960,1.000000000,1.200000048,0.038150985,-0.024456942,0.000000000,0.046147306,0.320520848,0.044861939,1759720779509584.000000000,0.000000000,1.000000000,1.000000000,6.900077820,1.000000000,0.045513660,0.042920951,0.323261738,0.728856623,-0.209755287,-0.579818010,0.505376577,0.013971159,-0.116528302,0.000000000,0.635017455,0.014453264,0.222356692,0.599825919,2.170322418,2.544714451,0.314159274,-4.311429024,-5.000000000
1759720779.609392,-0.514885128,-0.184034899,-0.021534039,0.000949860,1.000000000,1.200000048,0.040123280,-0.021399403,0.000000000,0.048447758,0.321500212,0.047730662,1759720779608482.000000000,0.000000000,1.000000000,1.000000000,7.000005245,1.000000000,0.044748295,0.042462289,0.324962854,0.729351461,-0.253408194,-0.578462601,0.493434310,-0.042014126,-0.113555275,0.000000000,0.625384867,-0.043463916,0.273280442,0.598423660,2.199727058,2.576107740,0.314159274,-4.306731701,-5.000000000
1759720779.710920,-0.510103285,-0.241826415,-0.019663012,0.000680685,1.000000000,1.200000048,0.037919745,-0.018156173,0.000000000,0.047128290,0.321954668,0.051039882,1759720779709621.000000000,0.000000000,1.000000000,1.000000000,7.100203991,1.000000000,0.041190952,0.044588014,0.324126542,0.729742050,-0.301015079,-0.571688414,0.475192845,-0.097757518,-0.111586615,0.000000000,0.607981503,-0.101130843,0.330164254,0.591415703,2.232161522,2.607585907,0.314159274,-4.302874565,-5.000000000
1759720779.810252,-0.499440551,-0.298294514,-0.021050682,0.001003504,1.000000000,1.200000048,0.032862302,-0.014896343,0.000000000,0.050019551,0.322835445,0.054063447,1759720779809555.000000000,0.000000000,1.000000000,1.000000000,7.200077534,1.000000000,0.036033221,0.046445761,0.322685361,0.730118155,-0.348452836,-0.559603214,0.449876875,-0.152408630,-0.109722950,0.000000000,0.584181666,-0.157667816,0.384024173,0.578913510,2.265334606,2.638962269,0.314159274,-4.296904087,-5.000000000
1759720779.909674,-0.481855124,-0.348662466,-0.030290334,0.000928879,1.000000000,1.200000048,0.028809156,-0.011827771,0.000000000,0.049642056,0.322650999,0.056611151,1759720779908778.000000000,0.000000000,1.000000000,1.000000000,7.299986839,1.000000000,0.031839017,0.047675487,0.322694480,0.730358899,-0.391336381,-0.542299211,0.421786100,-0.205659211,-0.109435521,0.000000000,0.556405663,-0.212755919,0.431440115,0.561012387,2.296217918,2.670349598,0.314159274,-4.294545174,-5.000000000
